,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
25-Oct,5,85,120,17,289,143,51,63,,280,71,9,91,32,10,131,127,86,17,0,7,19
26-Oct,11,105,148,17,251,93,53,43,54,299,,,,21,18,324,117,41,18,3,7,8
27-Oct,600,190,237,38,247,119,0,67,25,486,89,273,83,37,10,118,130,39,5,1,0,13
28-Oct,154,66,151,2,297,0,26,71,15,413,68,254,169,32,39,85,163,22,28,1,12,10
29-Oct,281,64,102,37,222,120,157,91,22,232,109,153,4,59,61,6,110,15,27,5,11,7
30-Oct,233,102,86,19,214,123,47,53,23,260,51,114,92,32,59,0,79,15,7,3,9,3
31-Oct,49,78,65,969,310,122,64,16,21,36,71,151,46,47,17,138,44,28,11,22,18,5
1-Nov,44,37,85,346,108,120,91,129,45,147,29,50,22,121,107,174,0,65,8,10,19,12
2-Nov,1270,15,53,0,51,87,136,47,131,271,25,177,34,131,25,98,0,77,9,10,2,4
3-Nov,235,37,29,541,71,242,136,51,,192,55,105,16,96,14,118,0,44,7,6,0,13
4-Nov,84,19,33,434,70,115,122,37,38,228,79,40,152,69,32,135,0,27,36,18,2,6
5-Nov,97,22,46,294,79,57,62,38,52,201,45,75,,71,200,158,0,32,7,5,4,7
6-Nov,55,29,58,198,31,68,91,31,39,137,76,58,456,80,73,0,0,99,3,10,4,2
7-Nov,32,81,74,198,,92,109,46,38,131,66,66,,100,85,0,0,116,3,12,17,7
8-Nov,34,24,33,209,,84,64,46,97,90,,80,,51,66,0,155,97,4,4,31,2
9-Nov,69,6,47,179,36,104,98,25,48,117,,61,99,53,31,115,300,130,13,13,37,6
10-Nov,113,18,39,114,48,70,123,18,48,103,261,,423,22,36,65,301,104,13,20,49,3
11-Nov,94,20,30,73,56,37,87,14,58,0,109,,302,30,23,39,169,103,9,1,29,8
12-Nov,98,21,23,125,125,19,94,24,89,76,49,75,214,23,30,56,170,79,18,0,93,7
