,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
31-Jul,0,3,1,0,28,39,10,47,6,60,8,0,0,0,0,0,0,0,0,0,0,0
1-Aug,0,3,4,0,53,56,5,50,7,10,10,0,0,0,0,0,0,0,0,0,0,0
2-Aug,0,1,1,0,60,51,3,39,7,31,8,0,3,0,0,0,0,0,0,0,0,0
3-Aug,0,0,4,0,52,60,8,34,7,15,7,0,0,0,0,0,0,0,0,0,0,0
4-Aug,0,0,9,0,44,43,12,26,6,16,6,0,0,0,0,0,0,0,0,0,0,0
5-Aug,0,0,4,1,21,6,9,29,7,6,4,0,0,0,0,0,0,0,0,0,0,0
6-Aug,0,0,1,2,33,7,12,37,,1,2,0,0,0,0,0,0,0,0,0,0,0
7-Aug,0,0,0,2,8,8,21,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
8-Aug,0,0,0,0,8,5,30,11,3,9,8,0,0,0,0,0,0,0,0,0,0,0
9-Aug,0,0,2,0,0,3,25,14,9,22,0,0,0,0,0,0,0,0,0,0,0,0
10-Aug,0,0,2,1,0,5,33,12,0,98,5,0,0,0,0,0,0,0,0,0,0,0
11-Aug,0,0,0,0,0,10,30,11,2,11,27,1,0,0,0,0,0,0,0,0,0,0
12-Aug,0,0,0,1,1,4,27,17,2,18,3,0,0,0,0,0,0,0,0,0,0,0
13-Aug,0,0,1,0,4,41,15,5,3,41,2,0,0,0,0,0,0,0,0,0,0,0
14-Aug,1,0,0,0,27,13,16,9,2,172,37,0,0,0,0,0,0,0,0,0,0,0
15-Aug,0,0,1,2,39,8,4,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0
16-Aug,0,0,0,2,13,6,15,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0
17-Aug,0,0,0,2,19,1,10,24,0,32,0,0,0,0,0,0,0,0,0,0,0,0
18-Aug,0,0,0,0,6,3,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
19-Aug,0,0,0,0,4,1,6,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0
20-Aug,0,0,0,0,3,0,2,4,0,1,0,0,0,0,,0,0,0,0,0,0,0
21-Aug,0,0,0,0,4,0,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
22-Aug,0,0,0,0,11,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Aug,0,0,0,1,5,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24-Aug,0,0,,0,10,0,7,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0
25-Aug,0,0,,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Aug,0,0,,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
27-Aug,0,0,,0,0,2,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
28-Aug,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Aug,0,0,,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
30-Aug,0,0,,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Aug,0,0,,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Sep,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Sep,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Sep,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Sep,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Sep,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Sep,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Sep,0,0,,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
12-Sep,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
