Model Yr,Species,1st day of collections,Position,# Released,# Recaptured,% Efficiency (not transformed),Discharge (cfs),Notes
2008,SBC,3/11/2007,Lower,106,36,34.9,328,YCW only
2008,SBC,3/13/2007,Lower,204,12,6.4,918,YCW only
2008,SBC,3/16/2007,Lower,200,22,11.5,597,YCW only
2008,SBC,3/18/2007,Lower,146,14,10.3,724,YCW only
2008,SBC,3/20/2007,Lower,200,29,15,719,YCW only
2008,SBC,3/27/2007,Lower,107,4,4.7,1072,YCW only
2008,SBC,3/29/2007,Lower,154,17,11.7,877,YCW only
2008,SBC,3/31/2007,Lower,103,9,9.7,835,YCW only
2008,SBC,4/2/2007,Lower,125,12,10.4,678,YCW only
2008,SBC,3/14/2007,Lower,187,44,24.1,741,YCW only
2008,SBC,4/9/2007,Lower,282,10,3.9,1149,YCW only
2007,SBC,7/12/2004,Upper,115,21,19.1,335,
2007,SBC,8/6/2004,Upper,119,44,37.8,199,
2007,SBC,8/26/2004,Upper,125,45,36.8,231,
2007,SBC,8/30/2004,Upper,137,46,34.3,152,
2007,SBC,8/6/2004,Upper,199,84,42.7,121,
2007,SBC,11/7/2004,Upper,158,65,41.8,150,
2007,SBC,11/11/2004,Upper,153,47,31.4,232,
2007,SBC,11/26/2004,Upper,146,61,42.5,152,
2007,SBC,11/27/2004,Upper,200,69,35,269,
2007,SBC,11/3/2003,Upper,189,50,27,294,
2007,SBC,10/31/2003,Upper,123,39,32.5,343,
2007,SBC,11/9/2002,Upper,200,92,46.5,96,
2007,SBC,7/27/2006,Upper,123,14,12.2,445,
2007,SBC,8/2/2006,Upper,199,70,35.7,250,
2007,SBC,8/16/2006,Upper,100,34,35,165,
2007,SBC,8/30/2006,Upper,100,30,31,115,
2007,SBC,9/21/2006,Upper,100,31,32,102,
2007,SBC,11/10/2006,Upper,200,13,7,674,
2007,SBC,11/12/2006,Upper,200,22,11.5,562,
2007,SBC,11/14/2006,Upper,200,32,16.5,446,
2007,SBC,11/18/2006,Upper,200,37,19,354,
2007,SBC,11/20/2006,Upper,200,39,20,330,
2007,SBC,11/22/2006,Upper,200,43,22,306,
2007,YCW & SBC,3/11/2007,Lower,106,36,34.9,328,
2007,YCW & SBC,3/13/2007,Lower,204,12,6.4,918,
2007,YCW & SBC,3/16/2007,Lower,200,22,11.5,597,
2007,YCW & SBC,3/18/2007,Lower,146,14,10.3,724,
2007,YCW & SBC,3/20/2007,Lower,200,29,15,719,
2007,YCW & SBC,3/27/2007,Lower,107,4,4.7,1072,
2007,YCW & SBC,3/29/2007,Lower,154,17,11.7,877,
2007,YCW & SBC,3/31/2007,Lower,103,9,9.7,835,
2007,YCW & SBC,4/2/2007,Lower,125,12,10.4,678,
2007,YCW & SBC,4/9/2007,Lower,282,10,3.9,1149,
2006,YCW & SBC,3/26/2003,Lower,105,19,19,276,
2006,YCW & SBC,4/2/2003,Lower,105,12,12.4,493,
2006,YCW & SBC,4/5/2003,Lower,105,12,12.4,417,
2006,YCW & SBC,4/25/2003,Lower,125,2,2.4,1083,
2006,YCW & SBC,3/29/2004,Lower,200,22,11.5,517,
2006,YCW & SBC,4/6/2004,Lower,149,9,6.7,691,
2006,YCW & SBC,4/1/2004,Lower,200,25,13,527,
2006,YCW & SBC,4/8/2004,Lower,200,5,3,920,
2006,YCW & SBC,4/10/2004,Lower,189,9,5.3,1024,
2006,YCW & SBC,4/12/2004,Lower,200,7,4,1195,
2006,YCW & SBC,4/17/2004,Lower,82,3,4.9,1185,
2006,YCW & SBC,3/11/2005,Lower,100,22,23,391,
2006,YCW & SBC,4/24/2005,Lower,200,23,12,754,
2006,YCW & SBC,4/27/2005,Lower,124,4,4,1303,
2006,YCW & SBC,3/8/2006,Lower,100,40,41,96,
2006,YCW & SBC,3/24/2006,Lower,186,66,36,95,
